id,yield
15289,4276.306977752358
15290,6031.058868297223
15291,7307.186693201626
15292,4921.841908851068
15293,3685.4256157814584
15294,5052.074950089742
15295,7253.8921803396115
15296,6285.046604601127
15297,8455.878789722949
15298,4259.17311207955
15299,5818.39985289892
15300,5916.438491315318
15301,5603.665434960096
15302,5595.897707895924
15303,5045.754734645282
15304,4943.118889396571
15305,4836.371286040526
15306,6368.550740169009
15307,5016.27535728332
15308,5770.158112267937
15309,6136.736293433817
15310,7610.592492908438
15311,5055.012014078709
15312,5300.197288573788
15313,6354.131136684985
15314,5184.813461640408
15315,4627.599963598907
15316,7977.792162839581
15317,5746.18978958888
15318,7895.900208359637
15319,8138.270923692528
15320,7028.062097904507
15321,6599.462837601474
15322,2463.255124699453
15323,5914.066940811852
15324,2573.524607257751
15325,7111.445479502676
15326,6179.202189742513
15327,4266.235234347613
15328,7887.991569627018
15329,7686.96536905339
15330,5257.552889107926
15331,5923.380698366183
15332,6794.467386436364
15333,6456.081214572311
15334,5579.716937191928
15335,7989.701548541323
15336,4217.922769672192
15337,7661.11743958302
15338,6127.590094281198
15339,5461.094634521065
15340,6700.859642064485
15341,5748.978738980554
15342,5282.034991033041
15343,6563.526393797671
15344,6089.2795823066635
15345,4485.482586310951
15346,6102.345700607291
15347,6163.293463809993
15348,4853.506919068699
15349,6412.9544896658
15350,4725.865278527412
15351,6217.2803409271855
15352,5941.702913704838
15353,6940.99383897693
15354,4420.118380767644
15355,4584.511250161971
15356,6060.322456254638
15357,6142.8699190260695
15358,6999.366739956491
15359,5025.214827528598
15360,4410.764794131483
15361,5736.882276555673
15362,6041.939818860245
15363,6797.947438779719
15364,5033.9838440648255
15365,4440.515317994539
15366,4815.378740029866
15367,7669.635286039399
15368,5018.729895200579
15369,5910.352416459302
15370,6398.250035309735
15371,3337.6253871458753
15372,4924.76446471116
15373,6192.817590363014
15374,5662.7329310535015
15375,5596.61128977823
15376,5856.677242440377
15377,5723.059623674633
15378,4758.400355732485
15379,6077.294625810874
15380,7378.434978362226
15381,6185.070045084172
15382,5968.972397405683
15383,7282.873320507793
15384,5268.4392411117
15385,4101.280396224796
15386,4300.744424034809
15387,4355.2503663837815
15388,6787.024739647827
15389,6165.827508144768
15390,8318.68671391784
15391,6510.315310646215
15392,7245.13761491336
15393,5810.803201811317
15394,6086.974659772582
15395,5685.183425294152
15396,6800.878434119756
15397,6949.457090601838
15398,5745.3673461091785
15399,5443.5580018704095
15400,4846.524718354166
15401,6228.219822727648
15402,6139.178680159791
15403,6197.8091279868795
15404,7295.237131543579
15405,7576.258200633889
15406,8284.23354701644
15407,5712.939453235941
15408,7595.793472939569
15409,5727.831935249048
15410,5957.986116567677
15411,8284.818175115253
15412,6705.989225978419
15413,6660.880571938635
15414,5805.878070063472
15415,6102.807586969627
15416,6969.951491199847
15417,5855.952333688011
15418,7764.27713722899
15419,4500.151543705038
15420,4174.704112721408
15421,6338.305139787909
15422,3668.9659433623897
15423,6876.088469844775
15424,6452.705390033319
15425,6957.441698380214
15426,3808.752042667895
15427,7644.991561566653
15428,6421.804538658585
15429,7424.578813396743
15430,6585.266167404584
15431,5209.006425645401
15432,5363.443112377269
15433,4815.257069153073
15434,8407.61053602847
15435,4034.6662967226234
15436,4834.816363920846
15437,5056.029227361415
15438,5530.385435865854
15439,7378.206802128139
15440,5405.188854812606
15441,6452.7063810305035
15442,5309.965379493153
15443,4740.434810554367
15444,5746.502867475289
15445,3667.3232097855507
15446,6552.989890063536
15447,6668.821590105661
15448,8171.614370313362
15449,8154.125476249592
15450,7267.535443072354
15451,5379.712377599959
15452,4490.389759505912
15453,7428.373934618776
15454,6605.046941660982
15455,8286.808490431438
15456,6380.596299059626
15457,6488.334837386647
15458,5655.077473005743
15459,6303.264098359233
15460,5709.051868935261
15461,5157.098692818496
15462,5221.962135930671
15463,6732.157683903944
15464,6331.379975808621
15465,6792.220679685573
15466,7283.781653735609
15467,7288.241147007387
15468,3531.6992320451764
15469,2475.1770317032842
15470,7475.190146049579
15471,7288.055630844826
15472,6510.855501959526
15473,5385.907831312584
15474,6863.794673926897
15475,5271.490104372221
15476,5365.400981228514
15477,5754.245878181652
15478,4569.1252342909065
15479,7455.4027516659235
15480,6771.682438370605
15481,6413.210709717122
15482,6286.489818945652
15483,6766.064969442836
15484,6254.600424502309
15485,7487.959407598148
15486,6306.801229660701
15487,7996.15631748122
15488,7254.671125407522
15489,5479.751852547515
15490,6253.235604750805
15491,6427.556523368108
